abbr,name_ja
And,アンドロメダ座
Ant,ポンプ座
Aps,ふうちょう座
Aqr,みずがめ座
Aql,わし座
Ara,さいだん座
Ari,おひつじ座
Aur,ぎょしゃ座
Boo,うしかい座
Cae,ちょうこくぐ座
Cam,きりん座
Cnc,かに座
CVn,りょうけん座
CMa,おおいぬ座
CMi,こいぬ座
Cap,やぎ座
Car,りゅうこつ座
Cas,カシオペヤ座
Cen,ケンタウルス座
Cep,ケフェウス座
Cet,くじら座
Cha,カメレオン座
Cir,コンパス座
Col,はと座
Com,かみのけ座
CrA,みなみのかんむり座
CrB,かんむり座
Crv,からす座
Crt,コップ座
Cru,みなみじゅうじ座
Cyg,はくちょう座
Del,いるか座
Dor,かじき座
Dra,りゅう座
Equ,こうま座
Eri,エリダヌス座
For,ろ座
Gem,ふたご座
Gru,つる座
Her,ヘルクレス座
Hor,とけい座
Hya,うみへび座
Hyi,みずへび座
Ind,インディアン座
Lac,とかげ座
Leo,しし座
LMi,こじし座
Lep,うさぎ座
Lib,てんびん座
Lup,おおかみ座
Lyn,やまねこ座
Lyr,こと座
Men,テーブルさん座
Mic,けんびきょう座
Mon,いっかくじゅう座
Mus,はえ座
Nor,じょうぎ座
Oct,はちぶんぎ座
Oph,へびつかい座
Ori,オリオン座
Pav,くじゃく座
Peg,ペガスス座
Per,ペルセウス座
Phe,ほうおう座
Pic,がか座
Psc,うお座
PsA,みなみのうお座
Pup,とも座
Pyx,らしんばん座
Ret,レチクル座
Sge,や座
Sgr,いて座
Sco,さそり座
Scl,ちょうこくしつ座
Sct,たて座
Ser,へび座
Sex,ろくぶんぎ座
Tau,おうし座
Tel,ぼうえんきょう座
Tri,さんかく座
TrA,みなみのさんかく座
Tuc,きょしちょう座
UMa,おおぐま座
UMi,こぐま座
Vel,ほ座
Vir,おとめ座
Vol,とびうお座
Vul,こぎつね座
